640, 480,
800, 600,
1024, 600,
1024, 640,
1024, 768,
1024, 819,
1067, 600,
1088, 614,
1093, 614,
1097, 617,
1120, 700,
1152, 648,
1152, 720,
1152, 864,
1176, 664,
1280, 600,
1280, 720,
1280, 768,
1280, 800,
1280, 853,
1280, 960,
1280, 1024,
1344, 840,
1360, 765,
1360, 768,
1360, 1024,
1366, 768,
1368, 768,
1368, 912,
1400, 1050,
1414, 794,
1421, 800,
1440, 810,
1440, 900,
1440, 960,
1459, 821,
1463, 823,
1474, 829,
1500, 1000,
1536, 864,
1536, 960,
1600, 900,
1600, 1024,
1600, 1200,
1680, 945,
1680, 1050,
1707, 960,
1707, 1067,
1768, 992,
1776, 1000,
1804, 1014,
1824, 1026,
1842, 1026,
1842, 1036,
1862, 1048,
1920, 1080,
1920, 1200,
2048, 1152,
2194, 1234,
2560, 1080,
2560, 1440,
2560, 1600,
2752, 1152,
2880, 1620,
3072, 1728,
3200, 1800,
3440, 1440,
3840, 216,
5760, 1080
